"","Time","Clim.ID","sites","Latitude","Longitude","Abies","Acer","Alnus","Anacardiaceae","Aquifoliaceae.undiff","Betula","Boraginaceae","Carya","Castanea","Celtis","Cornus","Cupressaceae.Taxaceae.undiff","Ericaceae.undiff","Euphorbiaceae","Fabaceae.undiff","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Moraceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg.Pinus","Pinus.subg.Strobus","Pinus.undiff","Platanus","Polygonaceae.undiff","Populus","Quercus","Rhamnaceae","Rosaceae.undiff","Salix","Taxodium","Taxus","Tilia","Tsuga","Ulmus"
"50",19,34927,"PATSCHKE",30.366667,-97.116667,0,0,0.31942199514094,0,0,0,0,0,0.0707643971800507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60981360767901,0,0,0,0,0,0,0,0
"51",19,31077,"PWFTSWAL",36.6,-90.583333,0,0,0,0,0,0,0,0,0,0,0,0.149347607044958,0,0,0,0,0,0,0,0,0,0,0,0.500435519777975,0,0,0.0680646054033127,0,0,0.0813007358800877,0.11121281946134,0,0,0.0896387124323263,0,0,0,0,0
"52",19,32376,"QUICKSND",34.326389,-84.865278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919008138286589,0,0,0,0.0809918617134115,0,0,0,0,0,0,0,0
"53",19,31104,"ROCKYHOC",36.166667,-76.683333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255576533155138,0,0,0.744423466844862,0,0,0,0,0,0,0,0,0,0,0,0
"54",19,33668,"SANDYRUN",32.589,-83.052,0,0,0.252606184964595,0,0,0,0,0.0812000181347715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390868325326608,0,0,0,0.275325471574026,0,0,0,0,0,0,0,0
"55",19,36891,"TULANEG",27.5895,-81.5008,0,0,0,0,0,0,0,0.147531921106235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143584739001311,0,0,0,0.708883339892454,0,0,0,0,0,0,0,0
"56",19,32384,"WHITEPND",34.166667,-80.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902842873710316,0,0,0,0.0971571262896842,0,0,0,0,0,0,0,0
"57",19,24629,"WOLFCRK",46.116667,-94.116667,0,0,0,0,0,0,0,0,0,0,0,0.0853660355822867,0,0,0,0,0,0,0,0,0,0,0,0.72704997362617,0,0,0,0,0,0.10255110376908,0.0850328870224625,0,0,0,0,0,0,0,0
"58",18,20840,"ALEXISLK",52.516667,-57.033333,0,0,0.225806824606468,0,0,0.333900543348076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106079547925565,0,0,0.0697897848352663,0,0,0,0,0,0,0.264423299284625,0,0,0,0,0
"59",18,31409,"ANDERSON",36.033333,-85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116210209498861,0,0,0,0,0,0.0655110671413544,0.279820668417716,0,0,0.221018859774407,0,0,0,0.317439195167662,0,0,0,0,0,0,0,0
"60",18,27889,"BINNEWTR",41.4128,-74.5467,0,0,0.0693121185796999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310965846439431,0,0,0.547025651858211,0,0,0,0,0,0,0.0726963831226582,0,0,0,0,0
"61",18,34927,"BORIACKB",30.36,-97.126111,0,0,0.6905049112528,0,0,0.145355850422195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080647940720317,0.0834912976046872,0,0,0,0,0,0,0,0
"62",18,29810,"BROWNSPD",38.154722,-79.616389,0,0,0.102148234735461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39922468605692,0,0,0.498627079207619,0,0,0,0,0,0,0,0,0,0,0,0
"63",18,34952,"CAMEL",30.266667,-85.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970045876816844,0,0.806498309205309,0,0,0,0.0964971031130065,0,0,0,0,0,0,0,0
"64",18,29772,"CHEYENNE",38.466667,-98.666667,0,0,0,0,0,0.105857914505996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697177875163163,0,0.196964210330841,0,0,0,0,0,0,0,0,0,0,0,0
"65",18,32710,"CLEARPND",33.798611,-78.953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796699760154262,0,0,0,0.203300239845738,0,0,0,0,0,0,0,0
